Transaction ID,Date(YYYY-MM-DD),User ID,Book Title,Genre,Borrowing Duration(Days)
T00001,2024-05-22,U4487,It Ends With Us,Thriller,10
T00002,2025-01-30,U9490,Harry Potter and the Sorcerer's Stone,Romance,7
T00003,2024-11-10,U7818,The Da Vinci Code,Classics,18
T00004,2025-02-11,U8520,A Court of Thorns and Roses,Romance,9
T00005,2024-06-16,U7695,Where the Crawdads Sing,Science Fiction,16
T00006,2024-06-15,U4982,The Great Gatsby,Historical Fiction,23
T00007,2024-09-07,U2204,The Hobbit,Fantasy,27
T00008,2024-11-30,U8830,Pride and Prejudice,Historical Fiction,13
T00009,2025-03-10,U6306,The Silent Patient,Science Fiction,18
T00010,2024-10-08,U5567,A Court of Thorns and Roses,Classics,14
T00011,2024-11-27,U9565,A Court of Thorns and Roses,Science Fiction,10
T00012,2024-09-28,U1509,The Silent Patient,Fantasy,28
T00013,2024-05-23,U6522,The Silent Patient,Romance,17
T00014,2024-12-12,U5078,It Ends With Us,Thriller,28
T00015,2024-07-28,U6435,The Midnight Library,Mystery,22
T00016,2025-04-28,U2018,The Alchemist,Mystery,12
T00017,2025-03-10,U7083,The Midnight Library,Fantasy,28
T00018,2024-06-17,U4226,Harry Potter and the Sorcerer's Stone,Classics,14
T00019,2024-12-25,U9558,The Silent Patient,Classics,8
T00020,2024-05-23,U6928,A Court of Thorns and Roses,Mystery,16
T00021,2024-06-20,U8678,The Great Gatsby,Science Fiction,17
T00022,2024-11-06,U1445,Ugly Love,Fantasy,13
T00023,2024-11-01,U4419,Angels & Demons,Mystery,15
T00024,2024-06-02,U3876,The Seven Husbands of Evelyn Hugo,Historical Fiction,11
T00025,2024-08-06,U9348,The Song of Achilles,Thriller,21
T00026,2025-02-01,U4181,Pride and Prejudice,Science Fiction,16
T00027,2025-01-27,U7319,The Seven Husbands of Evelyn Hugo,Classics,15
T00028,2024-10-01,U9531,Where the Crawdads Sing,Science Fiction,30
T00029,2025-04-28,U1836,Ugly Love,Science Fiction,16
T00030,2025-01-10,U5692,Verity,Science Fiction,27
T00031,2025-04-16,U9574,To Kill a Mockingbird,Historical Fiction,12
T00032,2024-06-02,U1866,Pride and Prejudice,Classics,24
T00033,2024-08-07,U9593,Where the Crawdads Sing,Historical Fiction,14
T00034,2024-05-14,U4313,To Kill a Mockingbird,Mystery,12
T00035,2024-05-22,U6685,The Seven Husbands of Evelyn Hugo,Mystery,22
T00036,2024-12-29,U8473,The Catcher in the Rye,Mystery,18
T00037,2024-05-21,U2286,The Seven Husbands of Evelyn Hugo,Thriller,18
T00038,2025-02-20,U3519,Where the Crawdads Sing,Historical Fiction,8
T00039,2024-09-14,U3649,Harry Potter and the Sorcerer's Stone,Romance,22
T00040,2024-10-14,U6083,Angels & Demons,Romance,28
T00041,2024-05-20,U6350,The Midnight Library,Fantasy,11
T00042,2024-12-09,U3931,It Ends With Us,Thriller,22
T00043,2024-08-31,U7117,The Midnight Library,Classics,19
T00044,2024-12-02,U6623,Harry Potter and the Sorcerer's Stone,Fantasy,23
T00045,2024-07-23,U7856,Harry Potter and the Sorcerer's Stone,Mystery,13
T00046,2025-05-06,U6358,Angels & Demons,Historical Fiction,27
T00047,2024-09-22,U2202,The Midnight Library,Mystery,15
T00048,2025-03-01,U1661,The Seven Husbands of Evelyn Hugo,Thriller,16
T00049,2024-05-20,U7548,1984,Romance,29
T00050,2025-03-08,U5389,Where the Crawdads Sing,Classics,21
T00051,2025-05-03,U3329,The Seven Husbands of Evelyn Hugo,Thriller,15
T00052,2024-06-28,U9569,The Alchemist,Classics,10
T00053,2024-11-24,U7074,Pride and Prejudice,Mystery,8
T00054,2024-08-16,U1399,The Hobbit,Fantasy,19
T00055,2024-07-27,U6538,The Hobbit,Science Fiction,20
T00056,2025-01-21,U9552,It Ends With Us,Mystery,30
T00057,2024-06-29,U1905,The Song of Achilles,Romance,14
T00058,2024-06-11,U1505,The Catcher in the Rye,Classics,27
T00059,2024-10-13,U5694,The Da Vinci Code,Mystery,7
T00060,2025-02-17,U5857,A Court of Thorns and Roses,Fantasy,28
T00061,2024-05-10,U8930,The Catcher in the Rye,Romance,18
T00062,2024-10-20,U8239,Angels & Demons,Fantasy,19
T00063,2024-06-14,U9797,The Da Vinci Code,Science Fiction,7
T00064,2024-07-27,U4387,The Silent Patient,Thriller,25
T00065,2025-02-13,U2579,Ugly Love,Historical Fiction,10
T00066,2025-01-04,U8420,It Ends With Us,Science Fiction,7
T00067,2024-10-20,U2955,Harry Potter and the Sorcerer's Stone,Romance,14
T00068,2024-10-18,U3229,Harry Potter and the Sorcerer's Stone,Romance,19
T00069,2025-04-13,U4358,To Kill a Mockingbird,Fantasy,28
T00070,2024-11-19,U6233,Angels & Demons,Fantasy,18
T00071,2025-04-03,U2960,The Great Gatsby,Thriller,11
T00072,2025-02-12,U8818,1984,Thriller,30
T00073,2025-04-15,U5165,A Court of Thorns and Roses,Romance,28
T00074,2024-12-11,U5392,Where the Crawdads Sing,Science Fiction,21
T00075,2025-01-29,U9098,The Silent Patient,Classics,17
